topicURI,topicName,courseURI,courseNo,materials
file:///Users/jatin/workspace/roboprof/data#7017370383,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/readings07.txt
file:///Users/jatin/workspace/roboprof/data#6262881409,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/readings07.txt
file:///Users/jatin/workspace/roboprof/data#6073066366,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/readings07.txt
file:///Users/jatin/workspace/roboprof/data#4241432146,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/readings07.txt
file:///Users/jatin/workspace/roboprof/data#2709886828,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/readings07.txt
file:///Users/jatin/workspace/roboprof/data#5688272722,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#4951548808,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#9653871871,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#7966226672,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#6037769855,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#6246482311,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#4759387845,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#2260800615,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#8356040236,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#4552193096,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#4749990744,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#6882943602,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#6494932001,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#7017370383,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#6262881409,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#6073066366,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#4241432146,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#2709886828,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/7_IntroToDL/slides07.txt
file:///Users/jatin/workspace/roboprof/data#6605654423,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/readings10.txt
file:///Users/jatin/workspace/roboprof/data#8756151769,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/readings10.txt
file:///Users/jatin/workspace/roboprof/data#7567859877,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/readings10.txt
file:///Users/jatin/workspace/roboprof/data#2560125706,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/readings10.txt
file:///Users/jatin/workspace/roboprof/data#7179992207,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/readings10.txt
file:///Users/jatin/workspace/roboprof/data#6862503183,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/readings10.txt
file:///Users/jatin/workspace/roboprof/data#2034672135,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/readings10.txt
file:///Users/jatin/workspace/roboprof/data#2259092383,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/readings10.txt
file:///Users/jatin/workspace/roboprof/data#7817139799,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/readings10.txt
file:///Users/jatin/workspace/roboprof/data#8455967135,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/readings10.txt
file:///Users/jatin/workspace/roboprof/data#6605654423,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/slides10.txt
file:///Users/jatin/workspace/roboprof/data#8756151769,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/slides10.txt
file:///Users/jatin/workspace/roboprof/data#7567859877,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/slides10.txt
file:///Users/jatin/workspace/roboprof/data#2560125706,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/slides10.txt
file:///Users/jatin/workspace/roboprof/data#7179992207,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/slides10.txt
file:///Users/jatin/workspace/roboprof/data#6862503183,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/slides10.txt
file:///Users/jatin/workspace/roboprof/data#2034672135,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/slides10.txt
file:///Users/jatin/workspace/roboprof/data#2259092383,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/slides10.txt
file:///Users/jatin/workspace/roboprof/data#7817139799,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/slides10.txt
file:///Users/jatin/workspace/roboprof/data#8455967135,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/10_NLP/slides10.txt
file:///Users/jatin/workspace/roboprof/data#5904518157,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/9_DLforNLP/slides09.txt
file:///Users/jatin/workspace/roboprof/data#8857992774,DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#1630436613,COMP 6721,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6721/lectures/9_DLforNLP/slides09.txt
